编号,文档,问题描述,严重度,修改建议,责任项,状态
D1-01,文档1,法人属性冲突："事业单位+政府财政"与"商业融资70-80%+对外参股孵化企业"并存,🟠 严重,明确双主体结构：事业单位（公益平台）+ 市场化运营公司（混合所有制）划清边界,项目总协调人/法务,待整改
D1-02,文档1,税收测算不可信：第10年增值税约20亿→反推销售额需百亿级与5000㎡ GMP+事业单位体量不匹配,🟠 严重,用产能×单价×达产率自下而上重算销售额再推税收,财务团队,待整改
D1-03,文档1,TOPIA库概念层级混用："1300多种天然活性提取物"中分段≠化合物≠已确证活性成分,🟡 重要,分层表述：原料数/分段数/已鉴定化合物数/已验证活性成分数,首席科学家团队,待整改
D1-04,文档1,注射液混入膳食补充剂叙事：胰岛修复再生干细胞因子注射液被列入健康产品篇章,🟠 严重,注射液单列"在研药品管线表"（适应症/注册类别/临床阶段/投入）与健康产品严格分开,法规事务,待整改
D1-05,文档1,产品数量口径不一：摘要60余款/正文30+种院内制剂/配方表61种,🟡 重要,统一为一张产品/配方总表区分已上市/在研/规划三种状态,项目秘书,待整改
D1-06,文档1,就业/产值无推导：直接就业500人和第9年产值超100亿仅为断言,🟡 重要,就业按岗位×人数逐项合计并检验加总；产值按品线×产能×单价推导,财务团队,待整改
D1-07,文档1,"横琴"与"省级中心"措辞残留混用多个名称,🔵 建议,全文统一正式名称首次出现时定义简称,文档编辑,待整改
D2-01,文档2,全文无财务测算：无总投资额/分项预算/收入预测/回收期/资金来源,🟠 严重,补充投资估算+资金筹措+财务效益+回收期四节至少给出区间值,财务团队,待整改
D2-02,文档2,选址章未落到宁德：全文不提宁德选址只论证保税区一般性好处,🟠 严重,明确具体落点论证宁德原料基础/港口/对台东南亚通道与业务的契合,选址/招商团队,待整改
D2-03,文档2,临床引用当确证：川芎精油贴VAS降45%等无样本量无完整引用,🟡 重要,标注样本量/研究类型/完整文献信息；用"初步证据提示"替代肯定性结论,研发/学术团队,待整改
D2-04,文档2,定量断言无来源："带动50余万农户增收""进口产品溢价300%""90%依赖进口",🟡 重要,补来源或改为有依据的区间描述；删除无法核实的精确百分比,市场研究,待整改
D2-05,文档2,团队章节空白：仅列招聘策略泛泛而谈无具体核心成员,🟡 重要,补充已确定的核心团队成员3-5人简历摘要与分工,人事,待整改
D2-06,文档2,疗效表述偏乐观："精油透皮贴替代阿片类药物潜力巨大",🔵 建议,改为"作为辅助补充手段的潜力需进一步大样本临床验证",学术团队,待整改
D3-01,文档3,储能表复制风电表（同G-04）,🔴 致命,见G-04,编制团队,待整改
D3-02,文档3,收入表数字格式错误（同G-05）,🔴 致命,见G-05,编制团队,待整改
D3-03,文档3,风资源假设偏乐观且与选址亮点矛盾：强调海上风电却选500MW陆上且等效2200h未附实测数据,🟠 严重,补实测/中尺度风资源评估；论证弃海上选陆上理由；利用小时数给区间及对收入影响,能源技术团队,待整改
D3-04,文档3,绿电直连政策未定型：成本核心依赖绿电直连0.30-0.35元/kWh但仍属试点,🟠 严重,增加政策情景分析：绿电直连成功vs走常规市场化购电两种情景下成本/回收期对比,政策/财务团队,待整改
D3-05,文档3,GPU供应/出口管制风险揭示不足：以英伟达GPU为主仅一句"搭配国产",🟠 严重,增设芯片供应/出口管制专项风险章节；给出国产替代比例与性能折损测算；说明应急采购方案,技术/采购团队,待整改
D3-06,文档3,财务只有静态回收期缺动态指标,🟡 重要,补充IRR/NPV/动态回收期/盈亏平衡/敏感性分析,财务团队,待整改
D3-07,文档3,IT设备投资/服务器数量/收入三者不勾稽,🟡 重要,明确芯片型号及单台造价；给出分年达产率曲线；让投资-产能-有效出租率-收入全链条可验算,技术/财务团队,待整改
D3-08,文档3,算力公司估值500-800亿无依据,🟡 重要,给出可比上市公司PE/PS倍数与本项目适用倍数区间合理化估值,资本市场团队,待整改
D3-09,文档3,工期矛盾：封面36个月但分阶段含第四阶段37-48个月,🔵 建议,若四期则全文改为48个月或明确"基础工期36+扩展期12个月",项目管理,待整改
D3-10,文档3,"算力出海"缺实质客户/协议支撑,🔵 建议,补充已接触潜在客户类型/LOI/行业对标案例,市场团队,待整改
D4-01,文档4,预算与建设内容严重不匹配：45亿要覆盖全部内容含500-800床三甲医院（100亩/15万㎡）,🟠 严重,单独编制医院预算或改为与现有三甲合作共建；重做投资分项使总盘匹配,财务/项目规划,待整改
D4-02,文档4,多只基金口径不清：45亿总投资+10-15亿产业基金+50亿临床转化专项基金是否并表/重叠不明,🟠 严重,画资金结构总图明确各基金来源/是否计入45亿/用途边界/存续期,财务团队,待整改
D4-03,文档4,干细胞医美抗衰作为收入支柱监管风险揭示不足,🟠 严重,增加"细胞治疗监管路径与合规边界"专章明确哪些可商业化/哪些仅限备案临床研究/对收入预测影响,法规事务,待整改
D4-04,文档4,合作状态模糊："已达成深度合作"与"合作意向"交替使用,🟡 重要,据实标注每家医院合作状态（已签/MOU/洽谈中）附协议名称与日期,商务团队,待整改
D4-05,文档4,"5年产值300亿带动500-800亿"无自下而上推导,🟡 重要,按入驻企业数×平均产值+平台服务收入推导；带动产值列明口径与乘数来源,财务/招商团队,待整改
D4-06,文档4,"150-200家企业入驻"假设激进,🟡 重要,参照国内已运营生物医药园区实际入驻节奏给出分年引进计划与对标,招商团队,待整改
D4-07,文档4,HLA-iPSC库覆盖率仅引日本CiRA逻辑未论证中国人群适用性,🔵 建议,补充中国HLA分型频率数据来源论证需多少纯合子株覆盖中国人群,研发团队,待整改
D4-08,文档4,"大湾区"残留（同G-01）,🔴 致命,见G-01,编辑,待整改
D5-01,文档5,"院士"称谓（同G-02）,🔴 致命,见G-02,人事/品牌,待整改
D5-02,文档5,疗效断言（同G-03）："两周治愈HPV""两周清除幽门螺杆菌""国际唯一/最领先/革命性"等,🔴 致命,删除绝对化用语；改为有数据支撑的表述；标明产品注册类别,首席科学家/法规事务,待整改
D5-03,文档5,"160余项未公开技术"不可核验,🟡 重要,标注"已申请专利受保密限制"；公开的技术附可核验证据（专利号/论文DOI/批件号）,知识产权,待整改
D5-04,文档5,影响因子数值标注："Lancet(79.321)、PPS(29.19)",🔵 建议,删除IF数值改为列代表作3-5篇（标题+期刊+年份+DOI）,学术秘书,待整改
D5-05,文档5,18项技术覆盖面极广易被质疑"全能型",🔵 建议,按与本次项目直接相关/间接相关/其他分组；重点展示与文档1、4核心路线对应的成果,首席科学家,待整改
